"";"Cantabria - Total - Total - Transacciones";"Cantabria - Total - Entre 0-150.000 euros - Transacciones";"Cantabria - Total - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Total - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Total - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Total - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Total - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Total - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Total - Más de 1.050.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Total - Transacciones";"Cantabria - Menos de 30 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Menos de 30 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Total - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Total - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Total - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Total - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Total - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Total - Transacciones";"Cantabria - Más de 180  m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Más de 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Más de 1.050.000 euros - Transacciones";"España - Total - Total - Transacciones";"España - Total - Entre 0-150.000 euros - Transacciones";"España - Total - Entre 150.001-300.000 euros - Transacciones";"España - Total - Entre 300.001-450.000 euros - Transacciones";"España - Total - Entre 450.001-600.000 euros - Transacciones";"España - Total - Entre 600.001-750.000 euros - Transacciones";"España - Total - Entre 750.001-900.000 euros  - Transacciones";"España - Total - Entre 900.001-1.050.000 euros - Transacciones";"España - Total - Más de 1.050.000 euros - Transacciones";"España - Menos de 30 m2 - Total - Transacciones";"España - Menos de 30 m2 - Entre 0-150.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Menos de 30 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Menos de 30 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Total - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Total - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Total - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Total - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Total - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Más de 1.050.000 euros - Transacciones";"España - Más de 180  m2 - Total - Transacciones";"España - Más de 180  m2 - Entre 0-150.000 euros - Transacciones";"España - Más de 180  m2 - Entre 150.001-300.000 euros - Transacciones";"España - Más de 180  m2 - Entre 300.001-450.000 euros - Transacciones";"España - Más de 180  m2 - Entre 450.001-600.000 euros - Transacciones";"España - Más de 180  m2 - Entre 600.001-750.000 euros - Transacciones";"España - Más de 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Más de 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Más de 180  m2 - Más de 1.050.000 euros - Transacciones"
"2004";"12831";"9927";"2474";"194";"42";"26";"58";"39";"71";"362";"362";"0";"0";"0";"0";"0";"0";"0";"2395";"2346";"49";"0";"0";"0";"0";"0";"0";"4452";"3911";"534";"7";"0";"0";"0";"0";"0";"2736";"2161";"531";"39";"5";"0";"0";"0";"0";"755";"344";"352";"54";"4";"0";"0";"1";"0";"430";"130";"242";"37";"17";"2";"0";"1";"1";"1701";"673";"766";"57";"16";"24";"58";"37";"70";"801695";"573881";"188961";"25538";"6564";"2445";"1255";"877";"2174";"17924";"17454";"427";"43";"0";"0";"0";"0";"0";"135277";"119657";"15251";"369";"0";"0";"0";"0";"0";"290067";"226419";"60446";"2926";"226";"45";"5";"0";"0";"177388";"121638";"49302";"5594";"706";"108";"37";"3";"0";"71585";"39780";"24218";"6002";"1131";"265";"106";"31";"52";"32105";"15524";"12010";"2973";"952";"323";"129";"74";"120";"77349";"33409";"27307";"7631";"3549";"1704";"978";"769";"2002"
"2004 - 1";"2623";"2112";"461";"29";"13";"2";"2";"2";"2";"32";"32";"0";"0";"0";"0";"0";"0";"0";"504";"497";"7";"0";"0";"0";"0";"0";"0";"904";"842";"61";"1";"0";"0";"0";"0";"0";"520";"455";"62";"3";"0";"0";"0";"0";"0";"125";"80";"38";"7";"0";"0";"0";"0";"0";"98";"33";"54";"2";"7";"1";"0";"1";"0";"440";"173";"239";"16";"6";"1";"2";"1";"2";"178620";"134312";"36301";"5340";"1495";"404";"246";"134";"388";"4748";"4623";"109";"16";"0";"0";"0";"0";"0";"30303";"27828";"2419";"56";"0";"0";"0";"0";"0";"63857";"52268";"11036";"506";"35";"10";"2";"0";"0";"39574";"28600";"9964";"885";"107";"10";"8";"0";"0";"16441";"9688";"4643";"1786";"232";"52";"18";"12";"10";"6878";"3601";"2313";"594";"238";"62";"19";"22";"29";"16819";"7704";"5817";"1497";"883";"270";"199";"100";"349"
"2004 - 2";"3320";"2594";"615";"57";"12";"1";"0";"29";"12";"188";"188";"0";"0";"0";"0";"0";"0";"0";"645";"632";"13";"0";"0";"0";"0";"0";"0";"1274";"1096";"178";"0";"0";"0";"0";"0";"0";"541";"392";"142";"5";"2";"0";"0";"0";"0";"195";"114";"62";"15";"3";"0";"0";"1";"0";"115";"36";"52";"25";"2";"0";"0";"0";"0";"362";"136";"168";"12";"5";"1";"0";"28";"12";"212468";"153800";"48628";"6442";"1673";"710";"353";"211";"651";"4643";"4531";"95";"17";"0";"0";"0";"0";"0";"36169";"32228";"3820";"121";"0";"0";"0";"0";"0";"76853";"60462";"15524";"793";"67";"7";"0";"0";"0";"47051";"33322";"12230";"1304";"160";"27";"8";"0";"0";"18696";"10511";"6323";"1441";"311";"57";"34";"3";"16";"8578";"4222";"3106";"803";"268";"75";"43";"29";"32";"20478";"8524";"7530";"1963";"867";"544";"268";"179";"603"
"2004 - 3";"3369";"2625";"628";"50";"5";"2";"47";"0";"12";"72";"72";"0";"0";"0";"0";"0";"0";"0";"647";"637";"10";"0";"0";"0";"0";"0";"0";"1190";"1056";"132";"2";"0";"0";"0";"0";"0";"764";"562";"173";"28";"1";"0";"0";"0";"0";"169";"93";"71";"5";"0";"0";"0";"0";"0";"106";"23";"71";"7";"4";"0";"0";"0";"1";"421";"182";"171";"8";"0";"2";"47";"0";"11";"190891";"136419";"44949";"6282";"1478";"600";"300";"333";"530";"3912";"3814";"92";"6";"0";"0";"0";"0";"0";"31458";"27868";"3507";"83";"0";"0";"0";"0";"0";"70178";"55082";"14290";"736";"58";"10";"2";"0";"0";"42343";"28811";"11933";"1382";"177";"30";"7";"3";"0";"16541";"9178";"5785";"1212";"247";"76";"17";"13";"13";"7588";"3568";"2805";"894";"174";"85";"25";"11";"26";"18871";"8098";"6537";"1969";"822";"399";"249";"306";"491"
"2004 - 4";"3519";"2596";"770";"58";"12";"21";"9";"8";"45";"70";"70";"0";"0";"0";"0";"0";"0";"0";"599";"580";"19";"0";"0";"0";"0";"0";"0";"1084";"917";"163";"4";"0";"0";"0";"0";"0";"911";"752";"154";"3";"2";"0";"0";"0";"0";"266";"57";"181";"27";"1";"0";"0";"0";"0";"111";"38";"65";"3";"4";"1";"0";"0";"0";"478";"182";"188";"21";"5";"20";"9";"8";"45";"219716";"149350";"59083";"7474";"1918";"731";"356";"199";"605";"4621";"4486";"131";"4";"0";"0";"0";"0";"0";"37347";"31733";"5505";"109";"0";"0";"0";"0";"0";"79179";"58607";"19596";"891";"66";"18";"1";"0";"0";"48420";"30905";"15175";"2023";"262";"41";"14";"0";"0";"19907";"10403";"7467";"1563";"341";"80";"37";"3";"13";"9061";"4133";"3786";"682";"272";"101";"42";"12";"33";"21181";"9083";"7423";"2202";"977";"491";"262";"184";"559"
"2005";"15108";"9904";"4660";"380";"81";"45";"13";"12";"13";"126";"126";"0";"0";"0";"0";"0";"0";"0";"2949";"2645";"303";"1";"0";"0";"0";"0";"0";"6407";"4850";"1510";"45";"0";"0";"2";"0";"0";"2697";"1474";"1127";"73";"20";"0";"1";"0";"2";"1050";"418";"513";"98";"12";"4";"3";"0";"2";"740";"158";"514";"35";"24";"5";"3";"1";"0";"1139";"233";"693";"128";"25";"36";"4";"11";"9";"843551";"511008";"272097";"42473";"9877";"3925";"1952";"1133";"1086";"10772";"10083";"638";"51";"0";"0";"0";"0";"0";"154753";"116963";"36832";"944";"0";"1";"0";"13";"0";"320812";"210379";"100671";"8881";"673";"156";"26";"5";"21";"189665";"108447";"66435";"12073";"2144";"427";"121";"5";"13";"76065";"34959";"29815";"7641";"2359";"727";"246";"165";"153";"35494";"12907";"15191";"4342";"1688";"692";"413";"186";"75";"55990";"17270";"22515";"8541";"3013";"1922";"1146";"759";"824"
"2005 - 1";"3389";"2202";"1099";"58";"14";"11";"1";"2";"2";"15";"15";"0";"0";"0";"0";"0";"0";"0";"590";"541";"49";"0";"0";"0";"0";"0";"0";"1379";"1062";"313";"4";"0";"0";"0";"0";"0";"599";"313";"272";"8";"4";"0";"0";"0";"2";"320";"156";"123";"36";"3";"1";"1";"0";"0";"230";"80";"141";"4";"2";"3";"0";"0";"0";"256";"35";"201";"6";"5";"7";"0";"2";"0";"186667";"119076";"56688";"7802";"1735";"698";"346";"193";"129";"2038";"1958";"79";"1";"0";"0";"0";"0";"0";"33564";"26679";"6758";"113";"0";"1";"0";"13";"0";"72358";"50054";"20901";"1277";"79";"28";"2";"2";"15";"42325";"25665";"14136";"2133";"302";"65";"17";"4";"3";"16697";"7897";"6470";"1712";"430";"123";"31";"19";"15";"8195";"3119";"3510";"937";"303";"166";"110";"36";"14";"11490";"3704";"4834";"1629";"621";"315";"186";"119";"82"
"2005 - 2";"4207";"2969";"1114";"87";"15";"12";"3";"3";"4";"60";"60";"0";"0";"0";"0";"0";"0";"0";"959";"870";"89";"0";"0";"0";"0";"0";"0";"1805";"1454";"339";"10";"0";"";"2";"0";"0";"641";"356";"267";"14";"3";"0";"1";"0";"0";"254";"91";"135";"23";"5";"0";"0";"0";"0";"158";"38";"104";"9";"6";"1";"0";"0";"0";"330";"100";"180";"31";"1";"11";"0";"3";"4";"218000";"136398";"66158";"10625";"2524";"1044";"486";"247";"518";"3592";"3324";"245";"23";"0";"0";"0";"0";"0";"40731";"31565";"8931";"235";"0";"0";"0";"0";"0";"81293";"54906";"24014";"2158";"174";"30";"8";"2";"1";"48264";"28431";"16121";"3063";"521";"97";"29";"0";"2";"19065";"9295";"6932";"1843";"617";"191";"74";"42";"71";"8741";"3349";"3616";"1071";"368";"181";"101";"35";"20";"16314";"5528";"6299";"2232";"844";"545";"274";"168";"424"
"2005 - 3";"3626";"2247";"1232";"99";"31";"5";"4";"6";"2";"22";"22";"0";"0";"0";"0";"0";"0";"0";"685";"612";"72";"1";"0";"0";"0";"0";"0";"1593";"1096";"484";"13";"0";"0";"0";"0";"0";"653";"351";"274";"24";"4";"0";"0";"0";"0";"217";"91";"108";"14";"3";"0";"1";"0";"0";"168";"20";"128";"10";"8";"0";"2";"0";"0";"288";"55";"166";"37";"16";"5";"1";"6";"2";"205247";"124128";"66186";"10456";"2474";"967";"506";"330";"200";"2370";"2233";"122";"15";"0";"0";"0";"0";"0";"37661";"28478";"8925";"258";"0";"0";"0";"0";"0";"78024";"51024";"24449";"2315";"185";"39";"8";"1";"3";"46311";"26429";"16081";"3059";"574";"129";"33";"1";"5";"18614";"8709";"7330";"1675";"587";"176";"50";"54";"33";"8707";"3124";"3810";"1054";"435";"152";"82";"29";"21";"13560";"4131";"5469";"2080";"693";"471";"333";"245";"138"
"2005 - 4";"3886";"2486";"1215";"136";"21";"17";"5";"1";"5";"29";"29";"0";"0";"0";"0";"0";"0";"0";"715";"622";"93";"0";"0";"0";"0";"0";"0";"1630";"1238";"374";"18";"0";"0";"0";"0";"0";"804";"454";"314";"27";"9";"0";"0";"0";"0";"259";"80";"147";"25";"1";"3";"1";"0";"2";"184";"20";"141";"12";"8";"1";"1";"1";"0";"265";"43";"146";"54";"3";"13";"3";"0";"3";"233637";"131406";"83065";"13590";"3144";"1216";"614";"363";"239";"2772";"2568";"192";"12";"0";"0";"0";"0";"0";"42797";"30241";"12218";"338";"0";"0";"0";"0";"0";"89137";"54395";"31307";"3131";"235";"59";"8";"0";"2";"52765";"27922";"20097";"3818";"747";"136";"42";"0";"3";"21689";"9058";"9083";"2411";"725";"237";"91";"50";"34";"9851";"3315";"4255";"1280";"582";"193";"120";"86";"20";"14626";"3907";"5913";"2600";"855";"591";"353";"227";"180"
"2006";"13697";"7420";"5270";"742";"154";"72";"21";"8";"10";"218";"218";"0";"0";"0";"0";"0";"0";"0";"2815";"2279";"533";"3";"0";"0";"0";"0";"0";"5173";"3286";"1771";"113";"1";"0";"0";"2";"0";"2332";"957";"1141";"209";"25";"0";"0";"0";"0";"984";"209";"627";"111";"29";"5";"2";"0";"1";"561";"73";"386";"67";"23";"11";"1";"0";"0";"1614";"398";"812";"239";"76";"56";"18";"6";"9";"907988";"476466";"337458";"64312";"16926";"6247";"3409";"2047";"1123";"21619";"17677";"3417";"525";"0";"0";"0";"0";"0";"164650";"110798";"51745";"2107";"0";"0";"0";"0";"0";"329220";"186690";"124430";"16067";"1694";"305";"30";"3";"1";"195085";"94788";"78493";"16849";"3981";"687";"285";"0";"2";"75545";"29383";"32177";"9108";"2952";"1128";"493";"213";"91";"35625";"11543";"15373";"4982";"2047";"837";"506";"216";"121";"86244";"25587";"31823";"14674";"6252";"3290";"2095";"1615";"908"
"2006 - 1";"3239";"1941";"1091";"150";"38";"15";"2";"0";"2";"63";"63";"0";"0";"0";"0";"0";"0";"0";"651";"573";"78";"0";"0";"0";"0";"0";"0";"1248";"830";"398";"20";"0";"0";"0";"0";"0";"561";"273";"235";"47";"6";"0";"0";"0";"0";"199";"68";"101";"19";"9";"1";"0";"0";"1";"148";"21";"110";"9";"7";"0";"1";"0";"0";"369";"113";"169";"55";"16";"14";"1";"0";"1";"222721";"122701";"79371";"14193";"3636";"1381";"745";"440";"254";"5249";"4370";"759";"120";"0";"0";"0";"0";"0";"42114";"29007";"12721";"386";"0";"0";"0";"0";"0";"81546";"48366";"29288";"3477";"352";"56";"6";"1";"0";"47171";"24181";"18091";"3924";"797";"128";"50";"0";"0";"18316";"7473";"7610";"2117";"729";"226";"111";"38";"12";"8360";"2872";"3570";"1050";"497";"184";"120";"47";"20";"19965";"6432";"7332";"3119";"1261";"787";"458";"354";"222"
"2006 - 2";"3597";"1941";"1360";"223";"42";"19";"7";"2";"3";"55";"55";"0";"0";"0";"0";"0";"0";"0";"747";"599";"145";"3";"0";"0";"0";"0";"0";"1388";"884";"456";"46";"0";"0";"0";"2";"0";"649";"234";"359";"52";"4";"0";"0";"0";"0";"240";"49";"146";"40";"4";"1";"0";"0";"0";"147";"17";"96";"21";"9";"4";"0";"0";"0";"371";"103";"158";"61";"25";"14";"7";"0";"3";"239622";"127447";"88037";"16529";"4327";"1663";"894";"459";"266";"5672";"4462";"1057";"153";"0";"0";"0";"0";"0";"44191";"29749";"13811";"631";"0";"0";"0";"0";"0";"87629";"50061";"32873";"4160";"453";"74";"5";"2";"1";"51088";"25514";"20095";"4178";"1032";"198";"69";"0";"2";"19916";"7928";"8443";"2361";"722";"286";"109";"44";"23";"9304";"2988";"4000";"1327";"534";"232";"149";"54";"20";"21822";"6745";"7758";"3719";"1586";"873";"562";"359";"220"
"2006 - 3";"3155";"1709";"1231";"161";"28";"19";"3";"2";"2";"51";"51";"0";"0";"0";"0";"0";"0";"0";"716";"558";"158";"0";"0";"0";"0";"0";"0";"1111";"709";"385";"17";"0";"0";"0";"0";"0";"551";"231";"258";"54";"8";"0";"0";"0";"0";"223";"41";"157";"15";"8";"2";"0";"0";"0";"110";"22";"69";"11";"3";"5";"0";"0";"0";"393";"97";"204";"64";"9";"12";"3";"2";"2";"210190";"109470";"78942";"15050";"3910";"1368";"757";"480";"213";"4933";"4081";"727";"125";"0";"0";"0";"0";"0";"37113";"25070";"11541";"502";"0";"0";"0";"0";"0";"76392";"43282";"28975";"3718";"353";"58";"6";"0";"0";"45255";"21496";"18705";"3871";"935";"158";"90";"0";"0";"17956";"6938";"7655";"2214";"702";"259";"104";"68";"16";"8638";"2814";"3842";"1167";"453";"193";"96";"49";"24";"19903";"5789";"7497";"3453";"1467";"700";"461";"363";"173"
"2006 - 4";"3706";"1829";"1588";"208";"46";"19";"9";"4";"3";"49";"49";"0";"0";"0";"0";"0";"0";"0";"701";"549";"152";"0";"0";"0";"0";"0";"0";"1426";"863";"532";"30";"1";"0";"0";"0";"0";"571";"219";"289";"56";"7";"0";"0";"0";"0";"322";"51";"223";"37";"8";"1";"2";"0";"0";"156";"13";"111";"26";"4";"2";"0";"0";"0";"481";"85";"281";"59";"26";"16";"7";"4";"3";"235455";"116848";"91108";"18540";"5053";"1835";"1013";"668";"390";"5765";"4764";"874";"127";"0";"0";"0";"0";"0";"41232";"26972";"13672";"588";"0";"0";"0";"0";"0";"83653";"44981";"33294";"4712";"536";"117";"13";"0";"0";"51571";"23597";"21602";"4876";"1217";"203";"76";"0";"0";"19357";"7044";"8469";"2416";"799";"357";"169";"63";"40";"9323";"2869";"3961";"1438";"563";"228";"141";"66";"57";"24554";"6621";"9236";"4383";"1938";"930";"614";"539";"293"
"2007";"12311";"5575";"5782";"748";"130";"33";"26";"10";"7";"79";"79";"0";"0";"0";"0";"0";"0";"0";"2456";"1932";"524";"0";"0";"0";"0";"0";"0";"5169";"2754";"2309";"104";"0";"0";"0";"0";"2";"2207";"551";"1451";"173";"31";"0";"0";"0";"1";"875";"104";"629";"86";"38";"10";"1";"5";"2";"588";"49";"422";"76";"18";"14";"6";"3";"0";"937";"106";"447";"309";"43";"9";"19";"2";"2";"761984";"360028";"312097";"61661";"16823";"5607";"3069";"1683";"1016";"7862";"7269";"559";"34";"0";"0";"0";"0";"0";"133545";"89887";"41812";"1846";"0";"0";"0";"0";"0";"283246";"147971";"117763";"15208";"1803";"437";"41";"5";"18";"177004";"72124";"82478";"17398";"4002";"735";"261";"0";"6";"71193";"22643";"33617";"9680";"3146";"1094";"560";"327";"126";"34288";"8891";"14817";"5966";"2509";"1048";"558";"343";"156";"54846";"11243";"21051";"11529";"5363";"2293";"1649";"1008";"710"
